Gender,Locality,Income,College,SSLC,PlusTwo,Degree
1,1,3,2,89.71,78.02,89.39
0,0,3,2,77.88,81.92,87.43
1,0,2,2,70.12,83.93,85.53
1,1,2,2,79.98,82.49,89.34
1,0,3,2,87.03,85.61,82.47
1,1,0,2,70.43,90.61,89.88
1,0,3,2,86.7,90.03,86.18
0,0,2,2,95.53,89.4,85.63
0,0,2,2,89.51,84.97,89.41
1,0,3,2,81.9,93.7,81.95
1,0,3,2,78.09,84.22,85.36
1,0,0,2,71.43,89.07,87.34
1,1,1,2,88.48,90.2,86.92
0,1,1,2,80.93,84.04,91.35
1,0,0,2,83.06,77.3,83.84
1,1,1,2,84.57,84.32,87.06
1,1,1,2,80.71,87.36,88.73
0,1,2,2,83.06,87.55,88.39
0,1,0,2,69.41,83.94,88.76
1,1,0,2,85.45,67.5,87.29
1,0,3,2,71.03,82.86,85.76
1,1,0,2,75.03,81.44,82.23
1,0,1,2,76.34,87.82,90.74
1,0,0,2,87.76,83.59,89.83
1,1,3,2,78.8,81.28,84.5
1,0,2,2,82.03,81.55,88.85
0,0,0,2,76.0,80.07,89.36
1,0,2,2,69.97,90.5,87.22
1,0,1,2,95.63,82.9,84.14
1,0,2,2,79.84,94.22,82.18
1,1,0,2,78.21,94.15,88.7
1,1,3,2,86.17,93.03,86.48
1,0,2,2,84.46,75.27,86.55
1,0,0,2,73.85,90.38,86.47
1,1,3,2,78.75,81.98,85.88
1,0,1,2,70.86,87.2,88.09
1,0,2,2,98.39,79.66,85.41
1,1,1,2,85.49,86.72,88.07
1,1,0,2,79.41,89.96,84.72
0,1,1,2,61.51,91.11,91.12
1,0,0,2,95.28,74.07,86.78
1,1,2,2,75.68,85.28,92.22
1,0,3,2,73.22,79.91,87.77
1,1,1,2,84.21,72.48,87.22
0,0,3,2,81.42,90.42,87.5
1,0,0,2,81.85,85.93,84.6
1,1,2,2,77.62,80.51,91.46
1,0,2,2,81.66,83.56,85.03
1,0,0,2,95.69,82.34,89.1
0,1,2,2,79.46,85.65,80.0
1,0,1,2,81.85,86.22,84.53
1,0,2,2,79.53,80.44,86.84
1,1,0,2,97.65,85.18,86.45
0,1,1,2,97.88,85.39,87.6
0,1,1,2,85.28,86.87,87.89
1,0,1,2,80.95,91.25,91.27
1,1,3,2,77.89,83.25,93.29
1,1,2,2,78.44,78.18,84.55
1,1,1,3,96.07,83.68,91.33
1,0,0,3,78.59,87.94,83.28
1,1,2,3,72.24,74.21,87.84
1,1,1,3,73.3,87.24,90.05
0,0,1,3,82.0,82.62,86.31
0,0,2,3,74.87,75.52,91.02
1,1,0,3,81.58,80.18,87.11
0,1,3,3,86.88,84.58,86.1
1,0,1,3,97.68,85.45,87.94
1,1,3,3,81.7,81.26,84.13
1,0,2,3,86.24,78.53,91.28
1,0,3,3,81.0,81.32,87.5
1,1,3,3,92.37,89.31,89.82
0,1,3,3,84.78,81.31,85.96
1,0,3,3,89.76,85.22,87.64
1,0,1,3,91.12,84.28,85.56
1,0,2,3,74.04,86.58,88.52
1,0,3,3,74.17,84.64,83.84
1,0,2,3,72.46,79.65,88.41
0,1,2,3,78.01,77.18,87.92
1,0,2,3,83.06,91.46,87.66
1,1,2,3,89.7,83.6,84.25
0,1,2,3,81.33,84.71,88.12
1,1,0,3,83.28,77.86,87.04
1,1,2,3,68.99,77.74,86.53
1,0,1,3,76.55,73.59,88.23
1,0,0,3,74.8,92.03,91.06
1,0,0,3,76.49,85.55,88.85
0,1,1,3,81.33,78.18,84.48
0,0,0,3,87.67,82.02,88.42
1,1,2,3,56.37,82.55,89.61
1,1,3,3,84.48,80.38,86.15
0,1,2,3,75.09,87.7,85.62
1,0,1,3,93.76,90.55,92.47
1,0,2,3,75.39,90.99,81.02
1,1,2,3,89.64,81.31,88.15
1,1,3,3,89.03,80.77,91.96
0,1,2,3,85.1,84.59,82.34
0,1,0,3,87.17,98.81,88.09
1,1,3,3,69.28,86.72,84.68
1,0,1,3,86.31,86.0,85.78
1,0,3,3,82.6,82.93,84.9
1,0,0,3,66.92,72.81,91.12
1,1,0,3,88.63,85.82,86.32
1,1,1,3,64.21,87.19,85.01
0,1,3,3,79.19,77.58,91.76
1,1,2,3,82.04,88.9,87.84
1,1,0,3,72.52,89.25,82.72
0,1,3,3,79.4,90.62,81.64
1,1,0,3,82.95,81.49,86.94
1,0,3,3,79.54,71.63,84.29
0,1,2,3,77.07,86.73,86.47
1,0,2,3,67.2,88.64,87.5
1,0,2,3,75.27,94.53,89.31
1,1,2,3,95.91,88.2,90.49
0,0,2,3,75.37,84.16,91.24
1,0,2,3,93.22,76.95,89.13
0,1,3,3,70.97,83.91,90.27
1,0,2,3,83.77,83.87,86.23
1,0,2,3,67.04,85.46,86.59
0,1,0,3,96.94,80.81,89.48
1,1,0,3,90.88,82.69,89.94
1,0,2,3,50.46,86.56,84.56
1,1,2,3,81.59,88.15,88.83
